The following is the list that works with word2vec without any threshold.  Anything that has not been properly classified should be simply deleted from this file. However, if we are using the whole list only to derive a single distance as positive/negative, we can tolerate the errors.

adjective,sentiment,positive_value,negative_value,positive_percent,negative_percent
abandoned,negative,0.043606786863027346,0.05853047719564246,0.42694296998183434,0.5730570300181658
abhorrent,negative,0.11979058679888345,0.26970401145937806,0.30755391046387276,0.6924460895361273
abiding,positive,0.13453416495548529,0.10341380836142319,0.5653931953280703,0.43460680467192975
abject,negative,0.08916825244586028,0.20440075095848872,0.3037386488758279,0.6962613511241722
abrupt,negative,0.11360635255765937,0.1602787155668322,0.41479571462443066,0.5852042853755692
absent,negative,0.0866243616802417,0.15112313139828143,0.3643544693513611,0.6356455306486389
absolute,positive,0.16368357103882855,0.13773988649392357,0.5430352779396507,0.45696472206034927
absorbed,positive,0.08449213456224543,0.0581323844195113,0.5924096022581707,0.40759039774182926
abstracted,positive,0.12003751052167609,0.08299702926988582,0.591217192133458,0.408782807866542
abundant,positive,0.1660954714244123,0.11702354186202664,0.5866630767618887,0.41333692323811133
abusive,negative,0.08261144951617237,0.25209364076290514,0.2468186230669239,0.7531813769330761
abysmal,negative,0.08595890678819684,0.16660725431579593,0.340342136145482,0.659657863854518
academic,positive,0.14182671779105607,0.05110046648336316,0.7351308128217019,0.2648691871782981
accessible,positive,0.1445173865178227,0.08209169934716594,0.6377387118710883,0.36226128812891173
accurate,positive,0.20098387816187516,0.14721935658766863,0.5772027887863799,0.4227972112136202
acerbic,negative,0.1434996929106,0.23635065217819776,0.37777955125209645,0.6222204487479035
acoustic,positive,0.12913216735287986,0.09639493590778389,0.5725793728819776,0.42742062711802237
acrid,negative,0.1303504360326721,0.20249111359992708,0.39162909852017264,0.6083709014798274
acrimonious,negative,0.08408808495164043,0.15758141685492505,0.34794661437646074,0.6520533856235392
acrobatic,positive,0.10618467451903105,0.09553018689540115,0.5264097735509428,0.4735902264490573
actionable,positive,0.13962814228566758,0.129755755377008,0.5183240108156388,0.48167598918436133
active,positive,0.11012288415103659,0.08472731817071127,0.5651668966152539,0.434833103384746
actual,positive,0.1993279906011803,0.17122848295104956,0.53791528370934,0.4620847162906599
adhoc,positive,0.09456130288701323,0.05078912914441946,0.6505746255130767,0.3494253744869233
adaptable,positive,0.1737985390376855,0.1294304206397404,0.5731594344503634,0.42684056554963645
adaptive,positive,0.18444430247971536,0.08842570889371715,0.6759420045880258,0.3240579954119743
additional,positive,0.1461490216394178,0.09174062224799479,0.6143563849655708,0.3856436150344292
adequate,positive,0.1856311147642084,0.14096316599821684,0.56838446261477,0.43161553738522995
adhesive,positive,0.14672550375532897,0.08941160328827466,0.6213572512694311,0.3786427487305689
adjustable,positive,0.14715212204342565,0.08252575983381087,0.6406891287950786,0.35931087120492133
administrative,positive,0.11991724897699964,0.07100341836259866,0.6280998838313193,0.3719001161686808
adult,positive,0.10551799956033216,0.0980701075016721,0.5182915695964297,0.4817084304035703
advanced,positive,0.19000914931220284,0.10538191976794271,0.6432460869717409,0.35675391302825904
adversarial,negative,0.14446198488287984,0.1912488476590789,0.4303167216530741,0.5696832783469258
aerial,positive,0.09093877263160016,0.059227832893528794,0.6055858578782513,0.39441414212174875
affordable,positive,0.14470598311253316,0.08175768427099683,0.638981010880941,0.3610189891190591
afraid,negative,0.0681660001640412,0.2149664230840468,0.24075660209467564,0.7592433979053245
agonizing,negative,0.1044535422518363,0.18737691313796165,0.35792543349294265,0.6420745665070573
agrarian,positive,0.10615611502316237,0.07668064742756542,0.5806059656726317,0.4193940343273684
airline,positive,0.06400743005393617,0.028389106241698076,0.6927470727813476,0.3072529272186523
algebraic,positive,0.15108370954245973,0.0696338273495197,0.6845115783273762,0.31548842167262375
alien,negative,0.0951350193980242,0.1513175259494935,0.3860175972777082,0.6139824027222918
allowable,positive,0.12463072001328279,0.0932952058342629,0.5718948745018554,0.4281051254981446
allusive,positive,0.15913123771644136,0.15517868339708568,0.5062876703117621,0.49371232968823775
aloof,negative,0.09937508865623121,0.23561309203048558,0.2966525220457478,0.7033474779542522
alternative,positive,0.16976675025175791,0.10493948505817662,0.6179938000323155,0.38200619996768437
ambiguous,negative,0.17756801922698573,0.24546731163466734,0.41974749216645574,0.5802525078335443
ambulant,positive,0.07851142271941439,0.06959295572002884,0.5301087216102531,0.4698912783897468
ambulatory,positive,0.09888190720520759,0.05568978608067989,0.6397154944943311,0.3602845055056689
amphibian,positive,0.08388560159632147,0.05992179347731679,0.5833191092389015,0.41668089076109843
ancient,positive,0.14402878021263793,0.09554998784040673,0.6011750598064215,0.3988249401935784
anecdotal,positive,0.14523561567122045,0.14158363870962412,0.506366338566565,0.4936336614334351
anemic,negative,0.10012752254607984,0.21443288773574595,0.3183093589443505,0.6816906410556495
angry,negative,0.06962335683064033,0.27011238859865455,0.20493385746814272,0.7950661425318574
angular,positive,0.16574176798194232,0.10293261274867588,0.6168871312971238,0.3831128687028761
annual,positive,0.0909959455677174,0.03811020979432774,0.7048149277820455,0.2951850722179544
antagonistic,negative,0.13938158302542056,0.24210314838216446,0.36536608558653644,0.6346339144134636
anticlimactic,negative,0.13107241811927076,0.25372181172655567,0.34062989502671825,0.6593701049732816
antsy,negative,0.06176844289795405,0.13072788667924284,0.32088114632431486,0.6791188536756851
apathetic,negative,0.10805662046258832,0.29925911770730496,0.26528957841918055,0.7347104215808193
appalling,negative,0.10982263982859154,0.2547871902341251,0.30120592143580144,0.6987940785641986
applicable,positive,0.1619054424902917,0.11817639225845561,0.5780647739455579,0.42193522605444217
applicative,positive,0.10300911141109406,0.048886377069466955,0.6781578073286672,0.32184219267133296
apprehensive,negative,0.0765978538800429,0.19738030625076705,0.27957649559903425,0.7204235044009657
appropriate,positive,0.21940744810835913,0.15267903880240882,0.5896678751490817,0.4103321248509183
approximate,positive,0.1366950863166344,0.0943847673289386,0.5915491297060252,0.40845087029397475
aquatic,positive,0.1125348985101559,0.07190576672539849,0.6101414694337304,0.3898585305662696
architectural,positive,0.14726758714211563,0.0521680177878111,0.7384217436693877,0.26157825633061227
aromatic,positive,0.13762909599151482,0.08866954391938876,0.6081746494176942,0.3918253505823057
arrogant,negative,0.10752337648386452,0.2965313073349714,0.266110951784126,0.7338890482158741
artificial,positive,0.17667785439150965,0.11632866882589749,0.602982665544333,0.39701733445566695
artistic,positive,0.18354026471186122,0.0870492193728757,0.6782978478734389,0.321702152126561
ashamed,negative,0.07290156801842848,0.23140455487692285,0.2395665500411203,0.7604334499588798
assignable,positive,0.11579384232773883,0.07190097298471573,0.616926163543609,0.383073836456391
assorted,positive,0.09838929923709912,0.08582789978955978,0.5340939920754129,0.4659060079245871
assured,positive,0.1606237255368279,0.14918022535643818,0.5184689384163669,0.48153106158363324
astonishing,positive,0.16210077557475133,0.15799516313091289,0.50641309674287,0.49358690325712995
astronomical,positive,0.11519334638429991,0.05205256271177138,0.6887663023083527,0.3112336976916473
asymmetrical,positive,0.1880268365413306,0.13782287400311952,0.5770354567053737,0.4229645432946263
athletic,positive,0.05983522407904386,0.03668528654307011,0.6199223739429215,0.3800776260570785
atomic,positive,0.1116895332698676,0.06963124592931753,0.6159775717000092,0.3840224282999908
atrocious,negative,0.1078677237081719,0.2524740291456294,0.2993483903929841,0.7006516096070159
attachable,positive,0.13105252169230844,0.08311687432713911,0.6119105909996976,0.38808940900030237
attainable,positive,0.1336420052338471,0.07363678379997657,0.6447452045469035,0.3552547954530965
atypical,positive,0.18380180747543387,0.1794506177230793,0.5059892095007716,0.4940107904992283
auspicious,positive,0.11414837509698803,0.10931826738400875,0.5108072230811586,0.4891927769188414
authentic,positive,0.19546606550904627,0.1416164564434439,0.5798760029942938,0.42012399700570624
authoritative,positive,0.17017656518759705,0.145749710654971,0.5386591056212089,0.46134089437879106
automatic,positive,0.1487951360759967,0.08338036275402919,0.6408735496458591,0.35912645035414087
autonomous,positive,0.11534964084520587,0.0771382326898051,0.5992566634293734,0.4007433365706266
available,positive,0.1395776464649114,0.07365611061284558,0.6545757500019734,0.3454242499980265
avant_garde,positive,0.11687199155563499,0.0811296411598068,0.5902577163270045,0.40974228367299537
avian,positive,0.10229614410090439,0.06366135702853434,0.6163996409003435,0.38360035909965645
avid,positive,0.09904019001232636,0.08833861007477899,0.5285560050885496,0.4714439949114505
awakening,positive,0.10091956001695174,0.10081143625664217,0.5002679899527263,0.4997320100472737
awful,negative,0.11637924966207432,0.24599458974354163,0.3211579783269275,0.6788420216730725
awkward,negative,0.13882453325006672,0.28211507454596935,0.3297967943119607,0.6702032056880393
